Dataset,Clusters,Budget,Iteration,Cost,Time,RawSize,ActualSize,Trimmed,Z,EpsReport,Beta,ReferenceCost,FinalKMeansTime,CostTime,WeightedSteps,RefLloydIterations
birb,16,1024,0,4628.490906583145,2.2499614999978803,1026,1024,True,0.4767184882919415,0.8,0.931090797445198,7119.536409073434,0.0146727999963331,0.476984499982791,20,0
birb,16,1024,1,4453.275206159836,2.251135999977123,1026,1024,True,0.4508068171670456,0.8,0.8804820647793857,7528.756232218377,0.0086644000257365,0.4953664999920875,20,0
birb,16,1024,2,4271.342819127694,2.253208500012988,1026,1024,True,0.447712071805434,0.8,0.8744376402449882,7580.797677816224,0.0138498999876901,0.4757851999893319,20,0
birb,16,1024,3,4530.138337349847,2.282984299992677,1026,1024,True,0.5057276640139342,0.8,0.987749343777215,6711.150834294503,0.0137172999966423,0.4717802000232041,20,0
birb,16,1024,4,4724.471268857305,2.2420051000081003,1026,1024,True,0.496011534246434,0.8,0.9687725278250662,6842.612318339099,0.0109780000057071,0.4946054000174626,20,0
birb,16,4096,0,4430.389488020011,4.340640299982624,4102,4096,True,0.028949461537961,0.4,0.4523353365306418,7119.536409073434,0.0583180999965406,0.4929107000061776,20,0
birb,16,4096,1,4419.390836107996,4.352272099989932,4102,4096,True,0.0273759355576657,0.4,0.4277489930885277,7528.756232218377,0.0395964999916031,0.5234459000057541,20,0
birb,16,4096,2,4329.001473633828,4.285506300017005,4102,4096,True,0.0271880023979161,0.4,0.4248125374674402,7580.797677816224,0.0529777999909129,0.4902426000044215,20,0
birb,16,4096,3,4289.159307063431,4.707246100006159,4102,4096,True,0.0307110882368137,0.4,0.4798607537002152,6711.150834294503,0.0540771000087261,0.4851326999778393,20,0
birb,16,4096,4,4388.431372212645,4.410205099993618,4102,4096,True,0.0301210613511146,0.4,0.4706415836111663,6842.612318339099,0.063088399998378,0.5361535999982152,20,0
birb,32,64,0,3965.8628979140926,3.001408999989508,67,64,True,611.8144290082437,8.5,0.9962376210189192,3773.2490272971936,0.0026039000076707,0.9741710999805946,20,0
birb,32,64,1,3823.376367926002,2.8502172000007704,67,64,True,585.423263748948,8.4,0.987716066955762,3943.34892733564,0.0020119000109843,0.945893399999477,20,0
birb,32,64,2,3581.4856676723,2.8437509999785107,67,64,True,658.2001766947718,8.700000000000001,0.9995401337499928,3507.334517493271,0.0021057999983895,0.9651867999928072,20,0
birb,32,64,3,3806.520155789552,2.7885955999954604,67,64,True,579.4517929186949,8.4,0.9776411040227412,3983.986635909265,0.0023945000139065,0.9573534000082872,20,0
birb,32,64,4,4064.952971525271,2.786486800003331,67,64,True,638.9024966199166,8.700000000000001,0.9702347546175436,3613.271526336025,0.0022695999941788,0.9766164000029676,20,0
birb,32,128,0,3410.474012651069,2.87595709998277,129,128,True,110.51331643644949,4.800000000000001,0.9992885239117606,3773.2490272971936,0.0032888000132516,0.9564592999813613,20,0
birb,32,128,1,3367.7032195278493,2.948009699990507,129,128,True,105.74622520887748,4.800000000000001,0.9561833153291144,3943.34892733564,0.0028293000068515,0.95920599999954,20,0
birb,32,128,2,3587.767773709018,2.9550712000054773,129,128,True,118.89207079262292,5.0,0.9511365663409834,3507.334517493271,0.0035912999883294,0.9285928000172134,20,0
birb,32,128,3,2959.5679728787663,2.920161200017901,129,128,True,104.66758597749396,4.800000000000001,0.9464299947328372,3983.986635909265,0.0032506999850738,0.9489654000208247,20,0
birb,32,128,4,3571.86621841168,2.9159365999803413,129,128,True,115.4062905895328,4.9,0.9809372845458334,3613.271526336025,0.002643200015882,0.926362500002142,20,0
birb,32,256,0,3088.999038778561,3.0094091999926604,262,256,True,27.005874735943145,3.1,0.9065111857924588,3773.2490272971936,0.0046317999949678,0.931003600009717,20,0
birb,32,256,1,3009.453774058321,3.0338843000063207,262,256,True,25.8409520578634,3.0,0.9570722984393852,3943.34892733564,0.008565299998736,0.9537701999943238,20,0
birb,32,256,2,2805.181416782617,3.0827720000233967,262,256,True,29.05337089190348,3.1,0.9752398674735144,3507.334517493271,0.0037720000254921,0.9856933999981266,20,0
birb,32,256,3,2745.112651954828,3.155143299984047,262,256,True,25.57736756952016,3.0,0.947309909982228,3983.986635909265,0.0069483000261243,1.0117166999843905,20,0
birb,32,256,4,2801.1083648732933,3.1191633000271395,262,256,True,28.20155912335687,3.1,0.9466469444918556,3613.271526336025,0.004837700020289,0.9641929999925196,20,0
birb,32,512,0,2799.655893750276,3.077014499984216,517,512,True,7.925647662671437,2.0,0.9907059578339296,3773.2490272971936,0.0081915000046137,0.9484306999947876,20,0
birb,32,512,1,2664.359094279473,3.030484899994917,517,512,True,7.583767727620587,2.0,0.9479709659525734,3943.34892733564,0.0065862000046763,0.9280545999936294,20,0
birb,32,512,2,2751.071542127844,2.9787454000033904,517,512,True,8.526544070637726,2.1,0.9206936692190612,3507.334517493271,0.0095506999932695,0.9572811000107322,20,0
birb,32,512,3,2752.5964064652326,3.1091983999940567,517,512,True,7.506411307790435,2.0,0.9383014134738044,3983.986635909265,0.0074561999936122,0.9315891000151169,20,0
birb,32,512,4,2622.591831724954,3.17604720001691,517,512,True,8.276555502652847,2.1,0.8936999786905137,3613.271526336025,0.006487599981483,0.9411167000071146,20,0
birb,32,1024,0,2549.8307662376137,3.4512154000112787,1026,1024,True,1.7989878800573536,1.3,0.818838361428017,3773.2490272971936,0.022749100025976,0.9936569000128656,20,0
birb,32,1024,1,2524.182687232616,3.3429587999999058,1026,1024,True,1.7213869210230517,1.2000000000000002,0.9961729867031544,3943.34892733564,0.0151093000022228,0.9330894999729936,20,0
birb,32,1024,2,2580.918746817962,3.303267300012521,1026,1024,True,1.935381194662129,1.3,0.8809199793637366,3507.334517493271,0.0123012000112794,0.96964670001762,20,0
birb,32,1024,3,2613.075474786005,3.307222900009947,1026,1024,True,1.703828322957368,1.2000000000000002,0.9860117609706986,3983.986635909265,0.0258357999846339,0.9507169999997132,20,0
birb,32,1024,4,2570.0688941172907,3.3291014000133146,1026,1024,True,1.8786380207161275,1.3,0.8550924081548144,3613.271526336025,0.0142639999976381,0.947470399987651,20,0
birb,32,4096,0,2391.30927560996,5.4966318999941,4102,4096,True,0.1092462988536013,0.5,0.8739703908288108,3773.2490272971936,0.1025202000164426,0.9855116999824532,20,0
birb,32,4096,1,2383.616121747056,5.479452800005674,4102,4096,True,0.1045338615681888,0.5,0.836270892545511,3943.34892733564,0.1031832000007852,0.9667876999883448,20,0
birb,32,4096,2,2443.553161813204,5.410322999989148,4102,4096,True,0.1175289921247041,0.5,0.9402319369976336,3507.334517493271,0.1022969000041484,0.9712231000012252,20,0
birb,32,4096,3,2474.2345992318283,5.375873599987244,4102,4096,True,0.1034675887639091,0.5,0.8277407101112734,3983.986635909265,0.1049261000007391,0.9559471999818924,20,0
birb,32,4096,4,2444.1969983034246,5.5176508000004105,4102,4096,True,0.1140831758368205,0.5,0.9126654066945646,3613.271526336025,0.0971227000118233,0.9564310999994632,20,0
birb,64,64,0,3223.58216070742,5.27567679999629,67,64,True,2297.506070556916,13.2,0.9989295810015246,2009.594863514033,0.0026528000016696,1.86293589998968,20,0
birb,64,64,1,2862.740346020761,5.123258300009184,67,64,True,2235.911235119713,13.1,0.9945821744403196,2064.955140330642,0.0038297999999485,1.958141200011596,20,0
birb,64,64,2,3240.1052979623223,5.269079299992882,67,64,True,2242.559228342943,13.1,0.9975393470917956,2058.8336485966934,0.0023692999966442,1.870252900000196,20,0
birb,64,64,3,2834.1440676662824,5.047645999991801,67,64,True,2215.4838893663127,13.1,0.9854956446897888,2083.994571318723,0.0025977999903261,1.887222399993334,20,0
